,date,vix,vixo,vixh,vixl
1011,1990-01-02,17.24,17.24,17.24,17.24
1013,1990-01-03,18.19,18.19,18.19,18.19
1015,1990-01-04,19.22,19.22,19.22,19.22
1017,1990-01-05,20.11,20.11,20.11,20.11
1019,1990-01-08,20.26,20.26,20.26,20.26
1021,1990-01-09,22.2,22.2,22.2,22.2
1023,1990-01-10,22.44,22.44,22.44,22.44
1025,1990-01-11,20.05,20.05,20.05,20.05
1027,1990-01-12,24.64,24.64,24.64,24.64
1029,1990-01-15,26.34,26.34,26.34,26.34
1031,1990-01-16,24.18,24.18,24.18,24.18
1033,1990-01-17,24.16,24.16,24.16,24.16
1035,1990-01-18,24.34,24.34,24.34,24.34
1037,1990-01-19,22.5,22.5,22.5,22.5
1039,1990-01-22,26.7,26.7,26.7,26.7
1041,1990-01-23,24.72,24.72,24.72,24.72
1043,1990-01-24,25.39,25.39,25.39,25.39
1045,1990-01-25,25.63,25.63,25.63,25.63
1047,1990-01-26,26.28,26.28,26.28,26.28
1049,1990-01-29,26.44,26.44,26.44,26.44
1051,1990-01-30,27.25,27.25,27.25,27.25
1053,1990-01-31,25.36,25.36,25.36,25.36
1055,1990-02-01,24.87,24.87,24.87,24.87
1057,1990-02-02,24.32,24.32,24.32,24.32
1059,1990-02-05,24.54,24.54,24.54,24.54
1061,1990-02-06,24.69,24.69,24.69,24.69
1063,1990-02-07,24.29,24.29,24.29,24.29
1065,1990-02-08,23.77,23.77,23.77,23.77
1067,1990-02-09,23.69,23.69,23.69,23.69
1069,1990-02-12,24.38,24.38,24.38,24.38
1071,1990-02-13,23.76,23.76,23.76,23.76
1073,1990-02-14,22.05,22.05,22.05,22.05
1075,1990-02-15,19.71,19.71,19.71,19.71
1077,1990-02-16,20.78,20.78,20.78,20.78
1079,1990-02-20,22.78,22.78,22.78,22.78
1081,1990-02-21,23.89,23.89,23.89,23.89
1083,1990-02-22,22.54,22.54,22.54,22.54
1085,1990-02-23,23.69,23.69,23.69,23.69
1087,1990-02-26,23.56,23.56,23.56,23.56
1089,1990-02-27,22.69,22.69,22.69,22.69
1091,1990-02-28,21.99,21.99,21.99,21.99
1093,1990-03-01,21.9,21.9,21.9,21.9
1095,1990-03-02,21.34,21.34,21.34,21.34
1097,1990-03-05,22.03,22.03,22.03,22.03
1099,1990-03-06,20.55,20.55,20.55,20.55
1101,1990-03-07,19.1,19.1,19.1,19.1
1103,1990-03-08,19.74,19.74,19.74,19.74
1105,1990-03-09,20.3,20.3,20.3,20.3
1107,1990-03-12,20.07,20.07,20.07,20.07
1109,1990-03-13,21.05,21.05,21.05,21.05
1111,1990-03-14,19.65,19.65,19.65,19.65
1113,1990-03-15,18.81,18.81,18.81,18.81
1115,1990-03-16,17.62,17.62,17.62,17.62
1117,1990-03-19,18.29,18.29,18.29,18.29
1119,1990-03-20,19.06,19.06,19.06,19.06
1121,1990-03-21,20.1,20.1,20.1,20.1
1123,1990-03-22,22.74,22.74,22.74,22.74
1125,1990-03-23,20.46,20.46,20.46,20.46
1127,1990-03-26,19.59,19.59,19.59,19.59
1129,1990-03-27,21.01,21.01,21.01,21.01
1131,1990-03-28,19.77,19.77,19.77,19.77
1133,1990-03-29,18.46,18.46,18.46,18.46
