,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
0,AAPL241115C00005000,2024-07-11 09:50:34 EDT-0400,5.0,225.72,209.9,212.4,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
1,AAPL241115C00015000,2024-10-10 10:25:18 EDT-0400,15.0,212.95,216.95,217.45,0.0,0.0,,36,3.5468761328125,True,REGULAR,USD,2024-11-15
2,AAPL241115C00020000,2024-10-07 14:48:39 EDT-0400,20.0,202.6,212.0,212.45,0.0,0.0,,1,3.2968767578125,True,REGULAR,USD,2024-11-15
3,AAPL241115C00025000,2024-10-10 10:25:18 EDT-0400,25.0,203.0,207.0,207.45,0.0,0.0,,71,2.9843775390625,True,REGULAR,USD,2024-11-15
4,AAPL241115C00040000,2024-10-10 10:25:18 EDT-0400,40.0,188.05,192.05,192.5,0.0,0.0,,4,2.4843787890625,True,REGULAR,USD,2024-11-15
5,AAPL241115C00050000,2024-06-28 13:39:09 EDT-0400,50.0,164.79,168.05,169.4,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
6,AAPL241115C00055000,2024-03-08 09:30:05 EST-0500,55.0,115.75,114.9,117.45,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
7,AAPL241115C00065000,2024-04-26 14:50:40 EDT-0400,65.0,106.47,126.05,126.95,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
8,AAPL241115C00070000,2024-09-06 10:51:24 EDT-0400,70.0,152.35,156.8,157.4,0.0,0.0,20.0,10,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
9,AAPL241115C00075000,2024-05-29 11:07:04 EDT-0400,75.0,118.52,139.75,140.55,0.0,0.0,,11,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
10,AAPL241115C00080000,2024-08-28 10:40:06 EDT-0400,80.0,150.1,148.75,149.5,0.0,0.0,1.0,8,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
11,AAPL241115C00085000,2024-09-16 14:55:12 EDT-0400,85.0,131.75,146.9,147.25,0.0,0.0,1.0,11,1.40625296875,True,REGULAR,USD,2024-11-15
12,AAPL241115C00090000,2024-10-07 15:55:43 EDT-0400,90.0,132.15,142.2,142.65,0.0,0.0,6.0,15,1.509768076171875,True,REGULAR,USD,2024-11-15
13,AAPL241115C00095000,2024-09-24 12:56:38 EDT-0400,95.0,132.6,137.2,137.7,0.0,0.0,5.0,19,1.4472683886718751,True,REGULAR,USD,2024-11-15
14,AAPL241115C00100000,2024-10-14 11:31:36 EDT-0400,100.0,130.05,132.35,132.7,0.0,0.0,1.0,20,1.4150419873046878,True,REGULAR,USD,2024-11-15
15,AAPL241115C00105000,2024-10-16 13:20:11 EDT-0400,105.0,126.1,127.3,127.7,0.0,0.0,7.0,28,1.3261752441406247,True,REGULAR,USD,2024-11-15
16,AAPL241115C00110000,2024-10-16 15:43:07 EDT-0400,110.0,122.11,122.3,122.9,0.0,0.0,50.0,298,1.3027378613281246,True,REGULAR,USD,2024-11-15
17,AAPL241115C00115000,2024-10-11 15:55:00 EDT-0400,115.0,113.3,117.25,117.75,0.0,0.0,1.0,399,1.1865275048828123,True,REGULAR,USD,2024-11-15
18,AAPL241115C00120000,2024-10-11 15:08:06 EDT-0400,120.0,109.2,112.35,112.75,0.0,0.0,3.0,36,1.144047248535156,True,REGULAR,USD,2024-11-15
19,AAPL241115C00125000,2024-10-11 10:51:17 EDT-0400,125.0,103.6,107.35,107.8,0.0,0.0,30.0,245,1.0908248583984377,True,REGULAR,USD,2024-11-15
20,AAPL241115C00130000,2024-10-08 10:09:25 EDT-0400,130.0,95.45,102.4,102.8,0.0,0.0,1.0,271,1.0380907470703127,True,REGULAR,USD,2024-11-15
21,AAPL241115C00135000,2024-10-10 10:36:41 EDT-0400,135.0,93.3,97.35,97.8,0.0,0.0,1.0,743,0.9687503125,True,REGULAR,USD,2024-11-15
22,AAPL241115C00140000,2024-10-17 14:59:07 EDT-0400,140.0,92.52,92.45,93.85,-1.9800034,-2.0952415,8.0,636,1.0610398510742187,True,REGULAR,USD,2024-11-15
23,AAPL241115C00145000,2024-10-15 13:34:52 EDT-0400,145.0,89.49,87.45,88.85,0.0,0.0,2.0,811,0.9975586181640624,True,REGULAR,USD,2024-11-15
24,AAPL241115C00150000,2024-10-17 13:56:09 EDT-0400,150.0,82.87,82.5,82.9,0.9200058,1.1226429,8.0,571,0.8369156933593749,True,REGULAR,USD,2024-11-15
25,AAPL241115C00155000,2024-10-16 15:54:56 EDT-0400,155.0,77.06,77.5,77.95,0.0,0.0,51.0,1115,0.7885763330078125,True,REGULAR,USD,2024-11-15
26,AAPL241115C00160000,2024-10-16 15:29:34 EDT-0400,160.0,72.08,72.55,72.95,0.0,0.0,5.0,1880,0.7412135253906249,True,REGULAR,USD,2024-11-15
27,AAPL241115C00165000,2024-10-17 15:00:35 EDT-0400,165.0,67.65,67.55,68.0,-1.949997,-2.80172,33.0,1144,0.6938507177734375,True,REGULAR,USD,2024-11-15
28,AAPL241115C00170000,2024-10-17 12:17:11 EDT-0400,170.0,62.9,62.6,63.0,1.8800011,3.0809588,13.0,2048,0.647464462890625,True,REGULAR,USD,2024-11-15
29,AAPL241115C00175000,2024-10-17 13:41:40 EDT-0400,175.0,58.1,57.65,58.05,0.72999954,1.2724413,3.0,1860,0.6054726953125001,True,REGULAR,USD,2024-11-15
30,AAPL241115C00180000,2024-10-17 15:50:00 EDT-0400,180.0,52.45,52.7,53.15,0.08000183,0.15276271,189.0,4311,0.567387138671875,True,REGULAR,USD,2024-11-15
31,AAPL241115C00185000,2024-10-17 12:31:47 EDT-0400,185.0,47.96,47.7,48.2,0.77000046,1.6317027,80.0,3621,0.5207567456054687,True,REGULAR,USD,2024-11-15
32,AAPL241115C00190000,2024-10-17 14:44:01 EDT-0400,190.0,42.55,42.8,43.3,-0.010002136,-0.023501258,17.0,5800,0.5131884619140624,True,REGULAR,USD,2024-11-15
33,AAPL241115C00195000,2024-10-17 15:25:51 EDT-0400,195.0,37.88,37.95,38.4,0.33000183,0.8788331,32.0,8945,0.47119669433593747,True,REGULAR,USD,2024-11-15
34,AAPL241115C00200000,2024-10-17 15:49:33 EDT-0400,200.0,33.15,33.05,33.5,0.15000153,0.4545501,446.0,15426,0.4274959594726563,True,REGULAR,USD,2024-11-15
35,AAPL241115C00205000,2024-10-17 15:55:37 EDT-0400,205.0,28.12,28.45,28.7,0.29000092,1.0420443,17.0,5786,0.39038695556640624,True,REGULAR,USD,2024-11-15
36,AAPL241115C00210000,2024-10-17 15:43:45 EDT-0400,210.0,23.65,23.75,24.05,0.9300003,4.0933113,355.0,7243,0.35938140625,True,REGULAR,USD,2024-11-15
37,AAPL241115C00215000,2024-10-17 15:54:50 EDT-0400,215.0,19.2,19.25,19.55,0.29000092,1.533585,199.0,6533,0.3305731005859375,True,REGULAR,USD,2024-11-15
38,AAPL241115C00220000,2024-10-17 15:59:49 EDT-0400,220.0,15.2,15.1,15.35,0.5,3.4013605,732.0,20627,0.30762411132812495,True,REGULAR,USD,2024-11-15
