,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
0,NVDA241115C00000500,2024-10-16 13:41:09 EDT-0400,0.5,135.15,134.1,135.95,3.0,2.2701476,5.0,10821.0,0.0,True,REGULAR,USD,2024-11-15
1,NVDA241115C00001000,2024-08-15 14:04:01 EDT-0400,1.0,122.15,117.8,118.35,0.0,0.0,20.0,90.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
2,NVDA241115C00001500,2024-09-16 10:43:51 EDT-0400,1.5,115.4,131.25,131.6,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
3,NVDA241115C00002000,2024-07-05 11:02:45 EDT-0400,2.0,124.36,104.35,106.4,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
4,NVDA241115C00003000,2024-08-08 09:32:39 EDT-0400,3.0,98.4,95.5,102.25,0.0,0.0,1.0,3.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
5,NVDA241115C00003500,2024-06-06 09:55:05 EDT-0400,3.5,116.6,122.2,123.0,0.0,0.0,,10.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
6,NVDA241115C00004000,2024-09-16 10:43:21 EDT-0400,4.0,113.0,128.85,129.35,0.0,0.0,1.0,115.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
7,NVDA241115C00004500,2024-09-16 10:43:27 EDT-0400,4.5,112.45,128.4,128.85,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
8,NVDA241115C00005000,2024-10-10 14:02:50 EDT-0400,5.0,129.63,130.4,131.4,0.0,0.0,3.0,20.0,5.367190791015624,True,REGULAR,USD,2024-11-15
9,NVDA241115C00006000,2024-09-18 14:35:54 EDT-0400,6.0,111.2,129.4,131.25,0.0,0.0,,3.0,6.20312724609375,True,REGULAR,USD,2024-11-15
10,NVDA241115C00007000,2024-09-18 14:35:54 EDT-0400,7.0,110.21,128.4,129.05,0.0,0.0,,4.0,3.2500018749999997,True,REGULAR,USD,2024-11-15
11,NVDA241115C00007500,2024-07-26 10:55:19 EDT-0400,7.5,105.35,120.9,122.9,0.0,0.0,10.0,20.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
12,NVDA241115C00008500,2024-10-15 11:35:46 EDT-0400,8.5,123.77,126.9,127.55,0.0,0.0,2.0,42.0,3.0000025,True,REGULAR,USD,2024-11-15
13,NVDA241115C00009000,2024-10-15 11:35:46 EDT-0400,9.0,123.24,126.45,127.05,0.0,0.0,2.0,43.0,3.468751328125,True,REGULAR,USD,2024-11-15
14,NVDA241115C00009500,2024-09-16 10:43:19 EDT-0400,9.5,107.6,123.35,123.8,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,2024-11-15
