,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
0,TSLA241115C00050000,2024-10-18 10:28:05 EDT-0400,50.0,170.09,169.2,172.75,-1.4600067,-0.8510677,5,225,2.3750040624999995,True,REGULAR,USD,2024-11-15
1,TSLA241115C00055000,2024-10-10 10:52:19 EDT-0400,55.0,184.1,164.15,167.75,0.0,0.0,2,12,2.1992232519531245,True,REGULAR,USD,2024-11-15
2,TSLA241115C00060000,2024-10-16 13:03:51 EDT-0400,60.0,160.95,159.15,162.8,0.0,0.0,62,42,2.091801645507812,True,REGULAR,USD,2024-11-15
3,TSLA241115C00065000,2024-10-07 15:17:29 EDT-0400,65.0,177.6,154.2,157.8,0.0,0.0,2,4,1.9921875390625,True,REGULAR,USD,2024-11-15
4,TSLA241115C00070000,2024-10-18 14:38:11 EDT-0400,70.0,151.87,149.2,152.85,-0.30999756,-0.20370454,1,92,1.8984380078125,True,REGULAR,USD,2024-11-15
5,TSLA241115C00075000,2024-10-18 11:44:04 EDT-0400,75.0,146.6,144.25,147.9,2.7000122,1.8763115,1,126,1.8271493017578124,True,REGULAR,USD,2024-11-15
6,TSLA241115C00080000,2024-10-14 09:52:22 EDT-0400,80.0,139.2,139.25,142.9,0.0,0.0,10,21,1.724610751953125,True,REGULAR,USD,2024-11-15
7,TSLA241115C00085000,2024-10-16 14:09:34 EDT-0400,85.0,136.79,134.3,137.95,0.0,0.0,1,21,1.6582048339843751,True,REGULAR,USD,2024-11-15
8,TSLA241115C00090000,2024-10-11 14:35:26 EDT-0400,90.0,129.78,129.3,132.95,0.0,0.0,1,18,1.5664084179687499,True,REGULAR,USD,2024-11-15
9,TSLA241115C00095000,2024-10-11 10:03:46 EDT-0400,95.0,123.94,124.35,127.95,0.0,0.0,1,3,1.4921900390624998,True,REGULAR,USD,2024-11-15
10,TSLA241115C00100000,2024-10-18 11:47:28 EDT-0400,100.0,121.55,119.55,122.8,1.050003,0.8713718,1,435,1.4209013330078126,True,REGULAR,USD,2024-11-15
11,TSLA241115C00105000,2024-10-17 14:36:29 EDT-0400,105.0,115.57,114.4,118.05,0.0,0.0,11,71,1.36328443359375,True,REGULAR,USD,2024-11-15
12,TSLA241115C00110000,2024-10-17 11:27:52 EDT-0400,110.0,110.12,109.5,113.05,0.0,0.0,9,149,1.3051792553710935,True,REGULAR,USD,2024-11-15
13,TSLA241115C00115000,2024-10-18 14:48:10 EDT-0400,115.0,107.52,104.65,107.95,2.2799988,2.1664755,1,353,1.2392616162109373,True,REGULAR,USD,2024-11-15
14,TSLA241115C00120000,2024-10-18 15:19:15 EDT-0400,120.0,101.95,99.7,102.95,0.5499954,0.5424018,110,392,1.1757853710937498,True,REGULAR,USD,2024-11-15
15,TSLA241115C00125000,2024-10-17 10:13:58 EDT-0400,125.0,94.41,94.6,98.15,0.0,0.0,3,171,1.12109814453125,True,REGULAR,USD,2024-11-15
16,TSLA241115C00130000,2024-10-18 14:47:48 EDT-0400,130.0,92.57,89.65,93.2,2.1699982,2.4004405,23,121,1.066899196777344,True,REGULAR,USD,2024-11-15
17,TSLA241115C00135000,2024-10-18 10:42:18 EDT-0400,135.0,87.08,84.7,88.25,1.1800003,1.3736907,2,169,1.0131885278320314,True,REGULAR,USD,2024-11-15
18,TSLA241115C00140000,2024-10-18 10:42:18 EDT-0400,140.0,82.2,81.15,81.8,0.87999725,1.0821413,2,793,0.948242705078125,True,REGULAR,USD,2024-11-15
19,TSLA241115C00145000,2024-10-16 10:40:25 EDT-0400,145.0,76.6,76.2,78.35,0.0,0.0,1,192,1.0290575891113285,True,REGULAR,USD,2024-11-15
20,TSLA241115C00150000,2024-10-18 15:22:49 EDT-0400,150.0,72.22,70.15,73.1,0.9599991,1.347178,122,3142,0.8544936425781251,True,REGULAR,USD,2024-11-15
21,TSLA241115C00155000,2024-10-18 11:40:56 EDT-0400,155.0,67.5,65.1,68.35,1.0699997,1.6107175,51,527,0.8110370458984374,True,REGULAR,USD,2024-11-15
22,TSLA241115C00160000,2024-10-18 13:12:20 EDT-0400,160.0,62.49,61.5,62.2,0.7800026,1.2639809,52,818,0.7700218310546876,True,REGULAR,USD,2024-11-15
23,TSLA241115C00165000,2024-10-18 14:50:49 EDT-0400,165.0,58.03,55.6,58.25,1.1800003,2.0756383,23,1280,0.7204617797851562,True,REGULAR,USD,2024-11-15
24,TSLA241115C00170000,2024-10-18 13:28:13 EDT-0400,170.0,52.61,51.2,53.55,0.76000214,1.4657708,58,1018,0.7148466015625,True,REGULAR,USD,2024-11-15
25,TSLA241115C00175000,2024-10-18 14:29:25 EDT-0400,175.0,48.07,46.2,48.8,-0.4300003,-0.8865986,38,3238,0.6660189648437502,True,REGULAR,USD,2024-11-15
26,TSLA241115C00180000,2024-10-18 14:47:20 EDT-0400,180.0,43.22,42.75,43.15,0.19000244,0.4415581,130,4921,0.6452672192382812,True,REGULAR,USD,2024-11-15
27,TSLA241115C00185000,2024-10-18 15:51:56 EDT-0400,185.0,38.5,38.3,38.6,0.47000122,1.2358696,27,3668,0.6209754699707033,True,REGULAR,USD,2024-11-15
28,TSLA241115C00190000,2024-10-18 15:52:36 EDT-0400,190.0,34.09,34.05,34.3,0.099998474,0.29419968,1200,3506,0.6047402807617189,True,REGULAR,USD,2024-11-15
